A5表 都道府県別集計,,平成26年確定値,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成26年確定値,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成26年確定値,,,,,,,,,,,,,
自殺日・住居地,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
総数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
都道府県コード,都道府県名,自殺者数,,自殺死亡率,,年換算した自殺死亡率,,年齢 (10歳階級）別,,,,,,,,,同居人の有無,,,職業別,,,,,,,,,,場所別,,,,,,,手段別,,,,,,,自殺の時間帯別,,,,,,,,,,,,,自殺の曜日別,,,,,,,,原因・動機別,,,,,,,,自殺未遂歴の有無,,
,,,,,,,,20歳未満,20-29,30-39,40-49,50-59,60-69,70-79,80歳以上,不詳,あり,なし,不詳,自営業・家族従業者,被雇用・勤め人,無職,,,,,,,不詳,自宅等,高層ビル,乗物,海（湖）・河川等,山,その他,不詳,首つり,服毒,練炭等,飛降り,飛込み,その他,不詳,0-2時,2-4時,4-6時,6-8時,8-10時,10-12時,12-14時,14-16時,16-18時,18-20時,20-22時,22-24時,不詳,日曜,月曜,火曜,水曜,木曜,金曜,土曜,不詳,家庭問題,健康問題,経済・生活問題,勤務問題,男女問題,学校問題,その他,不詳,あり,なし,不詳
,,,,,,,,,,,,,,,,,,,,,,,学生・生徒等,無職者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,対前年比,,対前年比,,対前年比,,,,,,,,,,,,,,,,,,主婦,失業者,年金・雇用保険等生活者,その他の無職者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,香川県,178,-29,17.62,-2.86,17.62,-2.86,4,24,24,25,31,28,20,22,0,132,45,1,8,53,113,7,106,7,10,44,45,4,99,6,16,13,8,36,0,122,3,13,16,0,24,0,20,12,23,13,4,12,16,23,10,7,7,6,25,29,29,22,26,22,26,20,4,25,89,32,17,9,4,12,45,44,115,19
38,愛媛県,308,-27,21.44,-1.82,21.44,-1.82,8,31,38,50,44,56,51,30,0,228,78,2,22,73,209,11,198,27,16,77,78,4,166,10,22,29,13,68,0,198,9,24,24,5,47,1,30,17,22,23,17,19,24,29,24,21,18,20,44,37,40,37,45,59,37,42,11,37,125,34,16,17,4,18,126,59,189,60
39,高知県,163,-14,21.61,-1.80,21.61,-1.80,1,16,19,14,26,28,31,28,0,111,52,0,13,30,119,9,110,10,5,60,35,1,90,2,8,10,19,34,0,120,6,8,10,0,19,0,9,12,10,14,10,12,19,12,16,14,10,8,17,32,22,20,15,27,16,30,1,26,83,23,10,3,4,11,53,32,104,27
40,福岡県,1081,-43,21.12,-0.90,21.12,-0.90,24,119,161,183,157,182,158,97,0,716,354,11,81,295,697,46,651,73,47,242,289,8,622,87,60,45,43,224,0,697,18,86,129,18,132,1,81,67,83,89,64,79,93,88,69,57,59,50,202,143,193,140,156,139,135,132,43,164,482,175,74,40,17,66,346,221,558,302
41,佐賀県,162,-13,19.01,-1.50,19.01,-1.50,4,9,18,32,39,28,17,15,0,126,36,0,12,54,95,3,92,7,11,30,44,1,89,2,20,16,12,23,0,106,9,13,4,2,28,0,21,8,10,13,16,10,15,7,16,14,9,5,18,27,28,16,30,19,20,17,5,30,82,29,20,3,3,10,42,23,94,45
42,長崎県,292,-17,20.50,-1.15,20.50,-1.15,6,30,44,34,60,55,36,27,0,229,62,1,30,92,170,10,160,21,10,65,64,0,159,6,13,12,23,79,0,219,7,15,25,2,24,0,14,25,25,19,26,30,22,30,35,16,11,8,31,40,38,37,38,52,39,40,8,43,99,46,35,7,4,46,106,65,201,26
43,熊本県,333,-34,18.24,-1.87,18.24,-1.87,4,25,38,46,59,71,49,41,0,254,79,0,35,92,205,8,197,12,3,124,58,1,200,8,33,17,13,62,0,233,12,34,20,6,28,0,18,16,34,31,20,39,26,28,26,14,20,17,44,50,60,47,45,46,41,38,6,46,212,52,33,8,0,29,76,71,229,33
44,大分県,216,-50,18.03,-4.15,18.03,-4.15,6,16,30,32,35,43,29,25,0,162,54,0,14,65,137,6,131,15,5,58,53,0,130,13,19,16,9,29,0,137,4,19,17,1,38,0,18,9,14,23,16,21,21,15,14,10,15,7,33,33,29,37,25,28,35,25,4,38,108,43,13,13,1,13,59,50,133,33
45,宮崎県,276,11,24.16,0.94,24.16,0.94,1,20,28,41,51,64,32,39,0,185,91,0,25,65,186,2,184,17,5,96,66,0,165,7,25,7,16,56,0,201,16,24,12,0,23,0,6,12,24,30,18,23,30,25,24,14,18,17,35,29,52,54,36,37,31,28,9,47,226,48,24,7,1,10,25,57,166,53
46,鹿児島県,371,-32,21.78,-1.90,21.78,-1.90,11,25,29,49,89,70,54,44,0,267,102,2,51,87,232,11,221,23,11,85,102,1,229,8,22,16,20,76,0,275,22,21,17,3,33,0,19,8,34,22,16,35,33,25,28,20,12,11,108,45,67,48,51,42,60,44,14,55,201,59,26,14,5,11,100,68,204,99
47,沖縄県,283,11,19.54,0.62,19.54,0.62,3,27,38,53,70,41,32,19,0,197,84,2,29,60,190,4,186,11,14,44,117,4,159,23,8,8,13,72,0,219,10,9,31,0,14,0,10,16,19,19,15,20,16,8,21,7,6,7,119,35,49,50,41,26,42,32,8,44,164,55,20,16,1,21,59,73,175,35
99,不明,207,-22,0.00,0.00,0.00,0.00,0,14,12,31,31,39,14,0,66,10,69,128,2,15,57,0,57,2,6,10,39,133,2,16,21,19,30,119,0,120,1,18,23,15,25,5,24,15,14,14,7,6,7,3,9,3,7,12,86,21,24,33,25,27,25,13,39,10,17,40,6,7,0,8,143,11,39,157
