,,,,,,,,,,,,,,,,,,,,,,主婦,失業者,年金・雇用保険等生活者,その他の無職者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,福井県,48,11.52 ,11.52 ,1,2,6,6,6,13,8,6,0,43,5,0,2,3,43,2,41,17,0,15,9,0,34,0,3,5,0,6,0,31,2,3,2,1,9,0,1,3,2,3,6,8,5,8,5,3,2,2,0,10,10,6,6,5,4,7,0,8,27,5,1,0,2,2,19,11,32,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,山梨県,63,14.32 ,14.32 ,2,5,7,9,8,20,3,9,0,50,13,0,5,11,46,3,43,12,2,7,22,1,40,0,5,9,3,6,0,32,6,5,5,5,10,0,4,3,1,5,1,9,3,5,8,5,4,3,12,9,10,12,10,6,8,8,0,12,46,6,1,2,1,7,5,13,31,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,長野県,151,13.65 ,13.65 ,2,7,15,16,28,32,28,23,0,129,21,1,7,28,116,1,115,42,3,45,25,0,88,7,9,30,0,17,0,82,4,9,21,3,32,0,12,6,13,9,7,12,13,15,14,8,3,4,35,20,31,19,14,19,30,18,0,53,114,19,4,4,0,12,20,37,86,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,岐阜県,157,14.70 ,14.70 ,2,13,17,17,19,23,34,32,0,137,20,0,8,18,131,2,129,35,5,62,27,0,108,6,10,11,4,18,0,97,7,13,13,1,25,1,11,5,16,12,12,21,7,15,11,8,9,12,18,24,27,21,20,20,23,19,3,26,107,6,5,4,0,5,36,43,66,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,静岡県,256,13.42 ,13.42 ,6,17,37,32,39,52,34,38,1,214,40,2,9,41,204,7,197,60,6,56,75,2,173,7,16,17,2,41,0,144,11,21,23,5,52,0,29,17,15,20,17,22,16,24,16,14,16,12,38,42,35,39,24,43,39,29,5,50,163,24,5,9,3,14,69,73,134,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,愛知県,486,13.48 ,13.48 ,8,48,68,76,60,92,77,57,0,392,89,5,12,69,400,13,387,146,7,129,105,5,324,35,18,36,0,73,0,275,12,29,82,18,69,1,44,27,36,34,25,46,35,55,46,28,27,25,58,62,70,68,76,63,73,66,8,80,381,35,14,24,3,21,65,133,258,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,三重県,99,10.45 ,10.45 ,1,9,17,11,20,13,16,12,0,85,14,0,4,15,80,1,79,19,1,34,25,0,70,1,9,6,1,12,0,67,2,8,8,3,11,0,5,3,8,8,5,6,12,11,8,10,4,5,14,16,16,16,17,18,9,7,0,21,74,6,1,2,0,2,7,35,26,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,滋賀県,92,13.08 ,13.08 ,0,7,13,15,11,23,13,10,0,76,16,0,2,11,79,2,77,21,3,26,27,0,61,1,3,7,1,19,0,58,4,5,6,1,18,0,9,8,9,6,2,9,9,12,12,3,3,3,7,9,14,18,9,12,16,14,0,24,86,6,6,2,1,12,1,34,55,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,京都府,179,13.52 ,13.52 ,3,21,18,27,24,34,33,19,0,133,44,2,4,22,152,7,145,39,2,65,39,1,129,16,2,12,0,20,0,114,6,3,19,9,28,0,6,8,7,7,5,13,19,12,13,5,9,8,67,25,27,32,24,14,28,22,7,38,115,19,4,5,2,3,46,45,89,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,大阪府,692,15.51 ,15.51 ,10,80,123,109,113,119,83,55,0,504,187,1,14,76,595,22,573,181,10,237,145,7,415,134,18,30,4,91,0,339,57,33,160,25,77,1,59,48,51,57,36,53,78,56,56,41,41,43,73,76,125,88,91,115,97,91,9,132,714,78,14,41,6,35,15,265,327,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,兵庫県,418,14.43 ,14.43 ,8,36,61,68,56,79,63,47,0,293,118,7,15,56,344,9,335,76,5,109,145,3,236,52,12,48,4,66,0,213,5,20,68,15,97,0,52,25,35,41,29,30,50,36,43,32,23,20,2,64,60,51,61,56,64,62,0,71,282,30,25,11,3,16,63,132,230,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,奈良県,91,12.34 ,12.34 ,1,10,9,14,12,21,11,13,0,67,23,1,4,8,78,4,74,27,1,3,43,1,64,7,4,4,0,12,0,53,3,7,9,4,15,0,8,2,11,6,6,10,9,12,7,7,5,2,6,13,13,12,13,9,10,21,0,8,64,4,3,3,4,3,22,26,40,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,和歌山県,93,17.13 ,17.13 ,2,5,11,15,15,14,12,19,0,72,20,1,7,14,72,2,70,28,2,18,22,0,58,2,5,12,3,13,0,62,1,5,5,1,19,0,9,2,11,6,4,8,9,3,10,6,5,4,16,12,14,11,13,14,14,11,4,8,62,4,2,3,2,4,22,25,49,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,鳥取県,43,13.84 ,13.84 ,0,4,5,11,5,6,8,4,0,37,6,0,4,6,33,1,32,11,0,7,14,0,27,1,4,4,0,7,0,27,1,4,5,0,6,0,2,7,1,2,3,5,4,2,4,2,1,4,6,6,8,5,9,5,6,4,0,4,22,3,1,0,1,1,19,10,16,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,島根県,58,15.34 ,15.34 ,1,6,4,6,3,16,9,13,0,47,11,0,3,6,49,2,47,13,4,10,20,0,38,0,4,8,2,6,0,35,2,4,4,1,12,0,5,1,5,8,3,12,2,4,4,3,3,3,5,5,7,11,10,13,6,6,0,8,44,4,0,3,0,1,10,15,29,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,岡山県,122,12.15 ,12.15 ,3,11,19,15,12,30,19,13,0,99,22,1,2,17,101,3,98,35,1,26,36,2,78,2,6,16,0,20,0,63,5,7,8,7,32,0,14,3,13,7,7,14,8,15,10,6,3,10,12,12,19,15,18,24,18,15,1,31,78,8,4,7,4,11,35,28,62,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
