,,,,,,,,,,,,,,,,,,,,,,主婦,失業者,年金・雇用保険等生活者,その他の無職者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,福井県,118,30.25 ,30.17 ,0,11,11,21,26,18,22,9,0,86,32,0,21,45,52,3,49,0,9,27,13,0,65,1,16,8,2,26,0,82,3,17,4,1,11,0,12,7,8,10,8,16,9,5,14,5,5,3,16,16,28,22,17,7,14,13,1,26,42,31,20,2,1,4,44,20,70,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,山梨県,130,30.96 ,30.87 ,2,14,14,27,21,28,19,5,0,90,40,0,14,41,74,5,69,0,9,13,47,1,75,0,16,5,6,28,0,81,6,19,5,3,16,0,5,6,9,9,11,9,4,15,15,5,4,4,34,14,25,20,26,11,12,19,3,28,48,44,16,6,3,18,12,15,82,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,長野県,320,30.53 ,30.45 ,8,30,42,63,54,53,27,43,0,238,77,5,36,109,175,15,160,0,14,76,70,0,196,1,47,12,20,44,0,214,13,39,9,3,41,1,31,12,22,19,13,18,23,15,21,19,11,8,108,41,47,43,43,41,53,36,16,70,186,94,43,19,11,22,28,39,247,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,岐阜県,292,28.97 ,28.89 ,5,31,40,45,42,63,42,24,0,226,65,1,33,91,161,8,153,0,18,78,57,7,169,1,23,14,13,72,0,201,3,32,10,7,39,0,34,13,24,21,13,16,25,26,17,17,12,11,63,35,47,58,45,36,31,29,11,33,101,62,33,8,3,12,113,36,173,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,静岡県,530,28.61 ,28.53 ,7,57,61,102,80,98,85,40,0,379,145,6,59,170,297,15,282,0,33,100,149,4,345,6,46,28,19,85,1,366,13,55,30,6,60,0,53,22,58,45,33,40,46,37,47,24,14,16,95,71,92,71,69,79,80,49,19,71,190,111,49,24,8,31,202,83,360,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,愛知県,999,27.43 ,27.35 ,24,117,167,172,180,157,110,72,0,658,327,14,79,364,538,31,507,0,45,281,181,18,590,55,65,44,26,219,0,653,13,92,87,21,131,2,93,45,96,82,51,72,97,67,67,47,44,38,200,117,180,159,133,127,126,117,40,164,463,245,151,29,16,55,171,121,612,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,三重県,248,27.64 ,27.57 ,2,31,40,49,36,40,31,19,0,183,65,0,39,91,117,5,112,0,23,42,47,1,145,3,34,7,6,53,0,179,1,32,5,1,30,0,41,11,28,28,12,20,25,13,40,5,9,14,2,36,47,44,35,25,28,32,1,31,115,63,39,3,4,8,31,48,86,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,滋賀県,202,29.39 ,29.31 ,0,26,40,37,35,29,20,15,0,142,59,1,30,72,99,5,94,0,14,38,42,1,107,2,25,8,9,51,0,147,1,20,7,4,23,0,19,8,18,25,14,17,12,9,14,14,10,12,30,36,28,25,32,31,32,17,1,62,110,102,43,5,3,36,8,45,121,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,京都府,322,26.35 ,26.28 ,4,44,43,47,54,68,39,23,0,203,117,2,41,100,175,15,160,0,19,70,71,6,182,13,29,9,19,70,0,232,5,36,18,5,26,0,12,8,14,19,12,18,16,18,19,9,12,9,156,51,42,45,49,44,40,40,11,43,123,88,34,11,7,12,109,53,161,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,大阪府,1215,28.84 ,28.76 ,15,131,167,242,205,224,166,65,0,713,495,7,121,342,743,42,701,0,30,457,214,9,634,134,78,78,27,264,0,776,29,95,171,25,118,1,106,90,110,99,84,78,101,79,82,80,53,59,194,156,195,169,183,185,172,132,23,171,706,381,167,33,23,52,74,216,867,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
