,,,,,,,,,,,,,,,,,,,,,,主婦,失業者,年金・雇用保険等生活者,その他の無職者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,奈良県,187,27.72 ,27.72 ,4,22,25,30,43,35,21,7,0,142,44,1,15,59,110,7,103,0,19,12,72,3,98,11,22,7,10,39,0,120,2,26,17,5,17,0,24,22,14,12,8,19,11,8,13,12,12,9,23,25,30,23,21,34,30,16,8,14,78,48,15,4,5,6,53,16,122,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,和歌山県,186,37.98 ,37.98 ,1,16,25,32,36,36,25,15,0,137,48,1,26,64,94,3,91,0,7,38,46,2,103,3,19,7,19,35,0,134,3,21,9,0,18,1,18,11,11,17,9,10,12,17,16,12,9,8,36,28,39,17,23,24,30,22,3,24,89,41,16,8,2,13,40,20,117,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,鳥取県,117,41.10 ,41.10 ,1,19,14,18,27,19,10,9,0,95,21,1,12,36,66,4,62,0,8,16,38,3,67,0,13,7,8,22,0,84,3,12,2,3,13,0,11,9,7,6,8,10,8,11,13,9,4,4,17,11,15,14,18,24,13,19,3,11,25,29,8,0,1,5,54,16,62,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,島根県,143,41.44 ,41.44 ,5,14,19,29,19,27,15,15,0,119,24,0,16,59,68,7,61,0,11,14,36,0,72,1,26,4,14,26,0,102,1,21,6,0,13,0,10,7,11,19,9,17,6,7,14,6,6,6,25,19,23,15,22,25,17,16,6,28,62,38,18,7,1,6,27,19,85,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,岡山県,299,31.96 ,31.96 ,4,38,46,51,71,50,19,20,0,212,85,2,21,92,179,7,172,0,42,47,83,7,179,3,35,12,16,54,0,190,10,41,8,6,44,0,42,17,22,29,9,18,18,20,16,13,10,18,67,27,55,36,43,46,39,38,15,39,108,77,32,10,2,12,113,38,176,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,広島県,477,34.50 ,34.50 ,8,48,70,76,104,97,52,22,0,330,144,3,45,178,246,15,231,0,45,94,92,8,245,21,63,25,25,98,0,302,7,62,41,9,56,0,26,8,32,29,26,35,28,35,31,30,8,22,167,53,70,74,72,66,65,66,11,60,246,142,55,10,3,27,114,74,279,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,山口県,244,35.22 ,35.22 ,0,23,33,36,68,40,34,10,0,170,74,0,36,79,128,3,125,0,18,38,69,1,117,3,45,9,22,48,0,169,1,35,9,2,28,0,18,9,12,16,12,17,20,20,18,15,5,11,71,23,32,38,37,37,34,36,7,46,144,87,30,11,1,10,24,43,137,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,徳島県,108,28.48 ,28.48 ,3,11,18,14,22,20,9,11,0,73,34,1,11,28,69,6,63,0,8,21,34,0,68,1,11,3,7,18,0,74,7,10,5,0,12,0,6,2,10,8,4,12,13,6,6,4,2,5,30,14,15,17,16,20,8,14,4,8,30,29,12,2,2,2,46,12,63,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,香川県,161,33.02 ,33.02 ,6,19,25,28,28,28,9,18,0,105,54,2,14,47,96,7,89,0,7,40,42,4,85,4,21,5,6,40,0,96,9,21,16,7,12,0,17,18,10,10,13,10,12,17,9,11,8,9,17,17,33,25,20,25,24,15,2,27,64,28,20,3,0,10,52,14,108,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,愛媛県,236,34.20 ,34.20 ,2,19,40,33,47,53,21,21,0,156,79,1,34,62,137,3,134,0,26,53,55,3,128,2,27,8,20,51,0,160,4,32,13,5,22,0,16,11,21,27,12,15,19,20,17,13,12,9,44,33,47,32,25,34,38,15,12,29,71,68,15,10,1,5,83,32,153,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
